28.7,66.7,0
45.6,19.3,1
28.9,63.4,0
26.9,76.1,0
4.5,89.2,1
23.0,62.7,0
36.7,32.4,1
27.0,51.4,0
9.1,93.3,1
25.5,71.4,0
6.1,88.5,1
27.0,57.7,0
64.1,16.7,1
9.3,86.0,1
26.0,62.5,0
54.8,14.2,1
23.0,60.5,0
10.7,86.7,1
77.6,13.5,1
7.4,97.3,1
7.2,91.4,1
66.1,5.5,1
70.7,7.0,1
22.0,55.8,0
14.4,82.7,1
32.0,52.7,0
17.7,86.8,1
59.2,10.1,1
6.0,94.4,1
40.6,11.4,1
5.5,95.1,1
27.3,56.6,0
30.3,73.4,0
16.8,82.3,1
24.7,51.5,0
23.3,55.8,0
45.3,13.3,1
28.3,59.3,0
6.7,87.0,1
30.2,68.7,0
14.8,88.1,1
27.3,42.0,0
7.8,93.4,1
57.3,20.6,1
27.7,74.0,0
48.9,20.7,1
31.0,58.4,0
46.4,24.9,1
23.2,71.0,0
7.9,93.0,1
23.2,50.5,0
6.7,98.8,1
30.4,51.7,0
42.6,24.3,1
42.9,23.9,1
29.1,71.9,0
32.4,49.9,0
4.7,91.8,1
9.7,90.7,1
76.8,12.8,1
2.8,94.0,1
27.2,47.5,0
76.0,14.4,1
27.2,49.3,0
0.6,97.0,1
30.1,45.1,0
38.6,14.0,1
71.2,19.6,1
78.2,8.3,1
22.4,63.3,0
29.2,65.7,0
61.1,9.8,1
29.8,55.7,0
28.8,69.3,0
27.2,45.0,0
3.8,85.4,1
23.8,67.5,0
25.2,45.0,0
25.3,45.5,0
26.5,69.0,0
12.1,92.4,1
30.8,53.6,0
61.7,11.8,1
12.2,100.0,1
3.0,95.3,1
72.3,9.0,1
6.1,92.2,1
27.0,56.8,0
77.0,22.8,1
30.7,42.5,0
29.4,44.7,0
25.3,70.1,0
49.1,34.5,1
30.1,53.0,0
13.5,92.9,1
25.3,57.3,0
78.7,8.4,1
25.9,64.5,0
70.6,23.2,1
26.8,45.9,0
24.8,47.6,0
1.4,89.8,1
28.9,64.8,0
25.5,73.3,0
30.6,72.2,0
23.5,74.7,0
24.3,52.4,0
70.7,23.6,1
71.9,8.9,1
24.4,48.2,0
23.9,60.3,0
49.4,23.8,1
17.2,92.4,1
30.4,65.7,0
1.1,91.9,1
22.0,53.4,0
24.6,75.8,0
24.2,62.5,0
30.7,67.6,0
28.1,63.1,0
14.0,94.4,1
28.0,72.9,0
59.1,13.2,1
27.1,64.0,0
23.9,74.1,0
78.2,18.6,1
22.8,51.3,0
3.1,89.6,1
63.1,5.9,1
25.1,64.4,0
40.2,21.2,1
22.3,57.7,0
5.1,94.9,1
29.5,66.6,0
8.1,90.4,1
32.7,71.4,0
42.4,28.5,1
48.1,33.7,1
7.6,86.7,1
25.2,59.2,0
25.0,77.6,0
26.8,50.9,0
26.2,71.6,0
2.7,97.8,1
67.7,20.7,1
9.8,97.8,1
28.9,61.9,0
27.3,71.4,0
28.6,54.7,0
24.5,52.0,0
10.5,87.8,1
32.0,54.2,0
24.5,67.3,0
26.9,57.2,0
17.8,95.8,1
26.4,56.2,0
25.3,59.9,0
15.6,88.1,1
48.7,31.5,1
23.9,47.9,0
30.4,45.3,0
29.5,51.1,0
25.5,63.0,0
11.9,81.1,1
58.1,22.9,1
59.7,12.0,1
26.1,67.4,0
14.0,83.4,1
23.0,62.3,0
28.1,77.9,0
50.4,11.9,1
4.2,96.2,1
29.5,42.4,0
31.6,59.6,0
26.6,67.4,0
40.2,34.4,1
0.2,95.2,1
28.3,49.7,0
52.6,20.7,1
28.0,62.5,0
37.8,16.9,1
28.9,56.9,0
77.1,8.1,1
29.0,45.6,0
66.0,15.0,1
24.3,62.2,0
30.7,46.3,0
53.8,27.2,1
66.8,22.3,1
31.4,49.3,0
29.5,66.4,0
26.8,68.9,0
29.5,60.9,0
31.7,50.9,0
4.6,96.5,1
3.5,87.2,1
23.6,45.9,0
58.2,8.4,1
73.2,16.7,1
25.6,68.9,0
77.8,11.5,1
8.4,84.0,1
22.5,56.2,0
67.0,24.7,1
25.2,69.1,0
12.2,94.4,1
25.1,70.9,0
26.8,70.6,0
38.8,21.6,1
28.0,56.5,0
30.4,55.3,0
7.8,98.2,1
30.1,58.2,0
24.2,59.4,0
72.8,17.8,1
26.9,45.6,0
29.1,54.4,0
28.8,59.3,0
32.2,50.8,0
29.6,47.7,0
67.4,12.7,1
9.2,84.9,1
49.6,31.3,1
47.7,30.7,1
65.2,8.3,1
30.0,79.0,0
31.0,67.3,0
23.7,56.2,0
56.3,8.6,1
61.4,22.4,1
28.6,66.6,0
28.9,43.9,0
25.6,66.3,0
12.2,86.1,1
50.1,25.5,1
29.5,51.2,0
21.4,73.7,0
2.4,94.0,1
54.0,15.0,1
68.6,15.6,1
28.8,57.3,0
50.3,23.1,1
32.3,51.2,0
29.1,70.3,0
76.4,18.7,1
30.1,63.9,0
51.0,21.5,1
22.3,59.9,0
30.2,44.1,0
22.8,67.2,0
6.1,100.0,1
1.7,99.9,1
29.8,60.6,0
53.9,26.2,1
56.2,8.2,1
8.9,97.4,1
25.8,72.1,0
6.3,96.9,1
29.2,60.7,0
63.8,12.9,1
8.8,93.9,1
24.7,49.0,0
26.1,60.6,0
23.5,56.0,0
2.4,94.1,1
25.6,55.9,0
25.1,60.2,0
27.2,65.9,0
15.5,85.6,1
9.4,98.7,1
25.8,73.6,0
30.9,51.8,0
30.8,64.3,0
25.2,70.7,0
21.0,57.8,0
5.5,88.5,1
8.2,87.0,1
31.0,64.4,0
54.5,18.4,1
9.6,89.2,1
51.3,20.6,1
28.5,54.9,0
26.6,61.2,0
50.1,24.1,1
30.9,66.9,0
24.1,60.6,0
30.7,70.0,0
5.7,97.8,1
6.2,91.4,1
27.1,64.6,0
32.2,59.0,0
14.0,86.1,1
65.7,11.8,1
40.7,29.2,1
75.9,11.7,1
29.1,64.5,0
4.6,94.6,1
26.7,73.9,0
2.4,98.8,1
28.8,70.7,0
15.0,92.6,1
76.9,22.4,1
29.4,63.0,0
28.3,60.1,0
43.5,16.5,1
27.8,66.0,0
24.7,57.1,0
24.4,50.6,0
46.8,30.8,1
8.4,94.5,1
59.7,19.7,1
30.7,51.1,0
25.8,63.5,0
25.8,65.5,0
13.1,83.9,1
39.4,15.0,1
30.6,57.5,0
75.5,8.7,1
23.1,65.2,0
3.7,92.5,1
65.8,11.8,1
24.7,62.9,0
7.1,96.2,1
7.0,91.2,1
29.5,49.5,0
27.0,69.2,0
29.1,75.8,0
1.2,89.3,1
25.9,56.6,0
28.0,62.9,0
38.7,12.8,1
70.9,19.1,1
51.0,18.9,1
31.3,62.7,0
23.8,46.7,0
11.5,84.6,1
32.1,43.5,0
3.0,87.6,1
47.6,11.0,1
14.2,88.7,1
72.1,6.7,1
37.9,12.9,1
8.3,93.1,1
43.5,17.5,1
30.1,54.8,0
24.9,48.8,0
